BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,,
QUEENS,FOREST HILLS,01-ONE FAMILY DWELLINGS,156,"279,000","1,375,515","1,145,000","4,000,000",,
QUEENS,FOREST HILLS,02-TWO FAMILY DWELLINGS,20,"700,000","1,042,840","969,944","1,633,000",,
QUEENS,FOREST HILLS,03-THREE FAMILY DWELLINGS,3,"415,000","630,000","485,000","990,000",,
QUEENS,FRESH MEADOWS,01-ONE FAMILY DWELLINGS,93,"240,000","990,478","977,000","1,850,000",,
QUEENS,FRESH MEADOWS,02-TWO FAMILY DWELLINGS,13,"888,000","1,106,769","1,100,000","1,490,000",,
QUEENS,FRESH MEADOWS,03-THREE FAMILY DWELLINGS,1,"1,360,000","1,360,000","1,360,000","1,360,000",,
QUEENS,GLEN OAKS,01-ONE FAMILY DWELLINGS,25,"200,000","702,400","710,000","1,200,000",,
QUEENS,GLEN OAKS,02-TWO FAMILY DWELLINGS,1,"1,150,000","1,150,000","1,150,000","1,150,000",,
QUEENS,GLENDALE,01-ONE FAMILY DWELLINGS,98,"300,000","737,780","715,000","1,240,000",,
QUEENS,GLENDALE,02-TWO FAMILY DWELLINGS,125,"300,000","844,470","850,000","1,280,000",,
QUEENS,GLENDALE,03-THREE FAMILY DWELLINGS,20,"300,000","929,328","912,500","1,360,000",,
QUEENS,HAMMELS,01-ONE FAMILY DWELLINGS,14,"241,200","537,979","527,250","1,065,000",,
QUEENS,HAMMELS,02-TWO FAMILY DWELLINGS,12,"361,600","757,092","811,000","866,000",,
QUEENS,HILLCREST,01-ONE FAMILY DWELLINGS,36,"496,860","744,586","720,250","1,050,000",,
QUEENS,HILLCREST,02-TWO FAMILY DWELLINGS,3,"650,000","755,000","765,000","850,000",,
QUEENS,HOLLIS,01-ONE FAMILY DWELLINGS,193,"213,747","625,687","645,000","1,180,000",,
QUEENS,HOLLIS,02-TWO FAMILY DWELLINGS,79,"212,000","723,212","750,000","1,295,000",,
QUEENS,HOLLIS,03-THREE FAMILY DWELLINGS,9,"865,000","1,000,000","990,000","1,190,000",,
QUEENS,HOLLIS HILLS,01-ONE FAMILY DWELLINGS,41,"637,500","1,148,395","980,000","2,500,000",,
QUEENS,HOLLISWOOD,01-ONE FAMILY DWELLINGS,38,"578,500","1,219,196","1,080,000","2,200,000",,
QUEENS,HOLLISWOOD,02-TWO FAMILY DWELLINGS,4,"940,000","1,409,750","1,350,000","1,999,000",,
QUEENS,HOLLISWOOD,03-THREE FAMILY DWELLINGS,2,"200,000","577,500","577,500","955,000",,
QUEENS,HOWARD BEACH,01-ONE FAMILY DWELLINGS,152,"210,000","762,852","767,500","1,625,000",,
QUEENS,HOWARD BEACH,02-TWO FAMILY DWELLINGS,61,"200,000","866,754","900,000","1,450,000",,
QUEENS,HOWARD BEACH,03-THREE FAMILY DWELLINGS,5,"668,000","932,200","985,000","1,050,000",,
QUEENS,JACKSON HEIGHTS,01-ONE FAMILY DWELLINGS,92,"590,000","910,642","860,000","2,100,000",,
QUEENS,JACKSON HEIGHTS,02-TWO FAMILY DWELLINGS,86,"200,000","929,185","910,000","1,538,000",,
QUEENS,JACKSON HEIGHTS,03-THREE FAMILY DWELLINGS,35,"890,000","1,247,200","1,245,000","1,700,000",,
QUEENS,JAMAICA,01-ONE FAMILY DWELLINGS,27,"305,000","760,133","675,000","1,653,000",,
QUEENS,JAMAICA,02-TWO FAMILY DWELLINGS,35,"215,000","834,197","825,000","2,750,000",,
QUEENS,JAMAICA,03-THREE FAMILY DWELLINGS,16,"720,000","1,139,625","1,150,000","1,550,000",,
QUEENS,JAMAICA BAY,01-ONE FAMILY DWELLINGS,9,"321,000","517,667","525,000","760,000",,
QUEENS,JAMAICA BAY,02-TWO FAMILY DWELLINGS,5,"405,000","656,280","720,000","740,000",,
QUEENS,JAMAICA ESTATES,01-ONE FAMILY DWELLINGS,65,"230,000","1,362,108","1,250,000","3,600,000",,
QUEENS,JAMAICA ESTATES,02-TWO FAMILY DWELLINGS,3,"250,000","871,667","880,000","1,485,000",,
QUEENS,JAMAICA HILLS,01-ONE FAMILY DWELLINGS,31,"580,000","807,992","800,000","1,030,000",,
QUEENS,JAMAICA HILLS,02-TWO FAMILY DWELLINGS,19,"626,000","1,027,868","980,000","1,800,000",,
QUEENS,JAMAICA HILLS,03-THREE FAMILY DWELLINGS,7,"800,000","1,059,000","1,100,000","1,460,000",,
QUEENS,KEW GARDENS,01-ONE FAMILY DWELLINGS,31,"319,000","1,088,419","1,200,000","1,800,000",,
QUEENS,KEW GARDENS,02-TWO FAMILY DWELLINGS,16,"659,600","870,756","833,500","1,300,000",,
QUEENS,KEW GARDENS,03-THREE FAMILY DWELLINGS,8,"275,000","1,126,563","1,093,750","2,080,000",,
QUEENS,LAURELTON,01-ONE FAMILY DWELLINGS,145,"237,500","577,464","599,000","950,000",,
QUEENS,LAURELTON,02-TWO FAMILY DWELLINGS,46,"246,500","698,185","695,000","1,260,000",,
QUEENS,LAURELTON,03-THREE FAMILY DWELLINGS,1,"474,900","474,900","474,900","474,900",,
QUEENS,LITTLE NECK,01-ONE FAMILY DWELLINGS,107,"200,000","1,042,145","950,000","2,321,610",,
QUEENS,LITTLE NECK,02-TWO FAMILY DWELLINGS,10,"930,000","1,429,673","1,341,444","2,189,238",,
QUEENS,LITTLE NECK,03-THREE FAMILY DWELLINGS,2,"1,260,000","1,280,000","1,280,000","1,300,000",,
QUEENS,LONG ISLAND CITY,01-ONE FAMILY DWELLINGS,6,"835,000","1,634,167","1,062,500","3,500,000",,
QUEENS,LONG ISLAND CITY,02-TWO FAMILY DWELLINGS,19,"611,500","1,427,225","1,225,000","2,600,000",,
QUEENS,LONG ISLAND CITY,03-THREE FAMILY DWELLINGS,5,"1,100,000","1,438,400","1,400,000","1,950,000",,
QUEENS,MASPETH,01-ONE FAMILY DWELLINGS,114,"230,000","734,212","760,000","1,200,000",,
QUEENS,MASPETH,02-TWO FAMILY DWELLINGS,109,"285,662","950,218","905,000","2,350,000",,
QUEENS,MASPETH,03-THREE FAMILY DWELLINGS,16,"975,000","1,190,750","1,137,500","1,630,000",,
QUEENS,MIDDLE VILLAGE,01-ONE FAMILY DWELLINGS,216,"267,142","770,749","770,000","1,450,000",,
QUEENS,MIDDLE VILLAGE,02-TWO FAMILY DWELLINGS,121,"415,000","953,970","905,000","2,700,000",,
QUEENS,MIDDLE VILLAGE,03-THREE FAMILY DWELLINGS,27,"500,000","1,167,335","1,200,000","1,685,000",,
QUEENS,NEPONSIT,01-ONE FAMILY DWELLINGS,21,"325,000","1,252,381","1,100,000","3,300,000",,
QUEENS,NEPONSIT,02-TWO FAMILY DWELLINGS,1,"975,000","975,000","975,000","975,000",,
QUEENS,OAKLAND GARDENS,01-ONE FAMILY DWELLINGS,71,"660,000","963,293","938,000","1,790,000",,
QUEENS,OAKLAND GARDENS,02-TWO FAMILY DWELLINGS,13,"471,352","1,287,095","1,318,000","1,940,000",,
QUEENS,OAKLAND GARDENS,03-THREE FAMILY DWELLINGS,2,"1,300,000","1,340,000","1,340,000","1,380,000",,
QUEENS,OZONE PARK,01-ONE FAMILY DWELLINGS,122,"234,234","624,378","631,000","1,650,000",,
QUEENS,OZONE PARK,02-TWO FAMILY DWELLINGS,127,"250,000","836,895","775,000","4,200,000",,
QUEENS,OZONE PARK,03-THREE FAMILY DWELLINGS,21,"725,000","907,155","930,000","1,090,000",,
QUEENS,QUEENS VILLAGE,01-ONE FAMILY DWELLINGS,296,"200,000","625,240","637,500","995,000",,
QUEENS,QUEENS VILLAGE,02-TWO FAMILY DWELLINGS,86,"220,000","734,813","760,000","1,400,000",,
QUEENS,QUEENS VILLAGE,03-THREE FAMILY DWELLINGS,5,"740,000","878,423","862,113","1,050,000",,
QUEENS,REGO PARK,01-ONE FAMILY DWELLINGS,63,"350,000","938,335","885,000","1,775,000",,
QUEENS,REGO PARK,02-TWO FAMILY DWELLINGS,25,"700,000","1,027,200","878,000","1,850,000",,
QUEENS,REGO PARK,03-THREE FAMILY DWELLINGS,7,"850,000","1,095,000","1,080,000","1,360,000",,
QUEENS,RICHMOND HILL,01-ONE FAMILY DWELLINGS,184,"300,000","632,124","625,000","1,235,000",,
QUEENS,RICHMOND HILL,02-TWO FAMILY DWELLINGS,178,"247,500","835,445","820,000","1,820,000",,
QUEENS,RICHMOND HILL,03-THREE FAMILY DWELLINGS,19,"660,000","989,000","962,000","1,325,000",,
QUEENS,RIDGEWOOD,01-ONE FAMILY DWELLINGS,22,"350,000","788,886","850,000","1,185,000",,
QUEENS,RIDGEWOOD,02-TWO FAMILY DWELLINGS,89,"480,000","1,015,153","990,000","2,000,000",,
QUEENS,RIDGEWOOD,03-THREE FAMILY DWELLINGS,31,"450,000","1,087,226","1,071,000","1,550,000",,
QUEENS,ROCKAWAY PARK,01-ONE FAMILY DWELLINGS,7,"205,000","672,429","520,000","1,450,000",,
QUEENS,ROCKAWAY PARK,02-TWO FAMILY DWELLINGS,11,"450,000","812,727","830,000","1,250,000",,
QUEENS,ROCKAWAY PARK,03-THREE FAMILY DWELLINGS,7,"605,000","938,214","900,000","1,195,000",,
QUEENS,ROSEDALE,01-ONE FAMILY DWELLINGS,138,"245,000","624,894","594,000","1,280,000",,
QUEENS,ROSEDALE,02-TWO FAMILY DWELLINGS,123,"300,000","805,016","850,000","1,175,000",,
