BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,BOERUM HILL,03-THREE FAMILY DWELLINGS,13,"1,680,000","2,607,462","2,500,000","4,000,000"
BROOKLYN,BOROUGH PARK,01-ONE FAMILY DWELLINGS,98,"245,000","1,312,401","1,173,138","3,700,000"
BROOKLYN,BOROUGH PARK,02-TWO FAMILY DWELLINGS,221,"200,000","1,338,612","1,300,000","3,640,000"
BROOKLYN,BOROUGH PARK,03-THREE FAMILY DWELLINGS,82,"300,000","1,694,385","1,700,000","3,300,000"
BROOKLYN,BRIGHTON BEACH,01-ONE FAMILY DWELLINGS,9,"280,000","454,444","450,000","725,000"
BROOKLYN,BRIGHTON BEACH,02-TWO FAMILY DWELLINGS,23,"600,000","948,299","905,000","2,100,000"
BROOKLYN,BRIGHTON BEACH,03-THREE FAMILY DWELLINGS,9,"695,000","955,278","950,000","1,225,000"
BROOKLYN,BROOKLYN HEIGHTS,01-ONE FAMILY DWELLINGS,16,"2,325,000","6,257,000","6,212,500","12,000,000"
BROOKLYN,BROOKLYN HEIGHTS,02-TWO FAMILY DWELLINGS,15,"4,825,000","6,210,667","5,650,000","10,350,000"
BROOKLYN,BROOKLYN HEIGHTS,03-THREE FAMILY DWELLINGS,1,"12,750,000","12,750,000","12,750,000","12,750,000"
BROOKLYN,BROWNSVILLE,01-ONE FAMILY DWELLINGS,44,"266,000","555,861","544,750","835,000"
BROOKLYN,BROWNSVILLE,02-TWO FAMILY DWELLINGS,28,"340,000","740,039","750,000","1,900,000"
BROOKLYN,BROWNSVILLE,03-THREE FAMILY DWELLINGS,5,"480,193","764,839","900,000","999,000"
BROOKLYN,BUSH TERMINAL,02-TWO FAMILY DWELLINGS,5,"740,000","910,500","900,000","1,107,500"
BROOKLYN,BUSHWICK,01-ONE FAMILY DWELLINGS,5,"640,000","1,075,500","1,126,500","1,390,000"
BROOKLYN,BUSHWICK,02-TWO FAMILY DWELLINGS,140,"375,000","1,179,353","1,166,500","2,485,000"
BROOKLYN,BUSHWICK,03-THREE FAMILY DWELLINGS,52,"200,000","1,262,833","1,220,000","3,000,000"
BROOKLYN,CANARSIE,01-ONE FAMILY DWELLINGS,92,"225,000","564,334","580,000","1,325,000"
BROOKLYN,CANARSIE,02-TWO FAMILY DWELLINGS,210,"200,000","742,974","760,000","1,030,000"
BROOKLYN,CANARSIE,03-THREE FAMILY DWELLINGS,29,"365,040","831,820","850,000","1,040,000"
BROOKLYN,CARROLL GARDENS,01-ONE FAMILY DWELLINGS,7,"2,810,000","4,646,214","3,675,000","6,700,000"
BROOKLYN,CARROLL GARDENS,02-TWO FAMILY DWELLINGS,22,"1,702,000","2,929,409","2,790,000","5,200,000"
BROOKLYN,CARROLL GARDENS,03-THREE FAMILY DWELLINGS,22,"1,050,000","2,842,168","2,950,000","6,400,000"
BROOKLYN,CLINTON HILL,01-ONE FAMILY DWELLINGS,9,"1,215,000","3,392,778","2,825,000","9,050,000"
BROOKLYN,CLINTON HILL,02-TWO FAMILY DWELLINGS,31,"330,000","2,496,613","2,590,000","4,425,000"
BROOKLYN,CLINTON HILL,03-THREE FAMILY DWELLINGS,23,"519,000","2,353,624","2,500,000","3,990,000"
BROOKLYN,COBBLE HILL,01-ONE FAMILY DWELLINGS,18,"300,000","4,478,309","4,450,000","6,800,000"
BROOKLYN,COBBLE HILL,02-TWO FAMILY DWELLINGS,13,"900,000","4,693,077","4,135,000","8,500,000"
BROOKLYN,COBBLE HILL,03-THREE FAMILY DWELLINGS,4,"2,554,000","3,857,250","3,750,000","5,375,000"
BROOKLYN,COBBLE HILL-WEST,01-ONE FAMILY DWELLINGS,2,"1,750,000","1,750,000","1,750,000","1,750,000"
BROOKLYN,COBBLE HILL-WEST,02-TWO FAMILY DWELLINGS,5,"925,000","1,634,800","1,400,000","2,750,000"
BROOKLYN,COBBLE HILL-WEST,03-THREE FAMILY DWELLINGS,1,"2,575,000","2,575,000","2,575,000","2,575,000"
BROOKLYN,CONEY ISLAND,01-ONE FAMILY DWELLINGS,23,"250,000","551,717","575,000","675,000"
BROOKLYN,CONEY ISLAND,02-TWO FAMILY DWELLINGS,2,"825,000","868,750","868,750","912,500"
BROOKLYN,CONEY ISLAND,03-THREE FAMILY DWELLINGS,1,"999,900","999,900","999,900","999,900"
BROOKLYN,CROWN HEIGHTS,01-ONE FAMILY DWELLINGS,34,"375,000","1,604,618","1,562,500","4,000,000"
BROOKLYN,CROWN HEIGHTS,02-TWO FAMILY DWELLINGS,108,"400,000","1,373,406","1,237,500","3,950,000"
BROOKLYN,CROWN HEIGHTS,03-THREE FAMILY DWELLINGS,31,"700,000","2,102,051","1,300,000","22,072,796"
BROOKLYN,CYPRESS HILLS,01-ONE FAMILY DWELLINGS,37,"279,000","674,088","665,000","1,650,000"
BROOKLYN,CYPRESS HILLS,02-TWO FAMILY DWELLINGS,95,"220,000","770,050","800,000","1,290,000"
BROOKLYN,CYPRESS HILLS,03-THREE FAMILY DWELLINGS,18,"665,000","845,667","832,500","1,113,000"
BROOKLYN,DOWNTOWN-FULTON FERRY,01-ONE FAMILY DWELLINGS,2,"4,260,000","4,355,000","4,355,000","4,450,000"
BROOKLYN,DOWNTOWN-FULTON FERRY,02-TWO FAMILY DWELLINGS,2,"1,975,000","2,485,000","2,485,000","2,995,000"
BROOKLYN,DOWNTOWN-FULTON MALL,01-ONE FAMILY DWELLINGS,1,"3,975,000","3,975,000","3,975,000","3,975,000"
BROOKLYN,DOWNTOWN-FULTON MALL,02-TWO FAMILY DWELLINGS,5,"2,925,000","4,995,000","4,300,000","9,000,000"
BROOKLYN,DOWNTOWN-METROTECH,01-ONE FAMILY DWELLINGS,1,"2,999,000","2,999,000","2,999,000","2,999,000"
BROOKLYN,DOWNTOWN-METROTECH,03-THREE FAMILY DWELLINGS,1,"2,700,000","2,700,000","2,700,000","2,700,000"
BROOKLYN,DYKER HEIGHTS,01-ONE FAMILY DWELLINGS,95,"280,000","1,034,984","960,000","2,810,000"
BROOKLYN,DYKER HEIGHTS,02-TWO FAMILY DWELLINGS,92,"343,507","1,303,325","1,317,500","2,300,000"
BROOKLYN,DYKER HEIGHTS,03-THREE FAMILY DWELLINGS,24,"990,000","1,467,083","1,487,500","1,950,000"
BROOKLYN,EAST NEW YORK,01-ONE FAMILY DWELLINGS,90,"260,000","535,789","542,500","785,000"
BROOKLYN,EAST NEW YORK,02-TWO FAMILY DWELLINGS,203,"285,000","722,897","745,000","1,300,000"
BROOKLYN,EAST NEW YORK,03-THREE FAMILY DWELLINGS,63,"340,000","846,581","845,000","1,347,775"
BROOKLYN,FLATBUSH-CENTRAL,01-ONE FAMILY DWELLINGS,86,"294,000","1,648,740","1,702,500","3,625,000"
BROOKLYN,FLATBUSH-CENTRAL,02-TWO FAMILY DWELLINGS,49,"525,000","1,575,972","1,500,000","3,950,000"
BROOKLYN,FLATBUSH-CENTRAL,03-THREE FAMILY DWELLINGS,12,"200,000","1,054,284","1,110,702","1,985,000"
BROOKLYN,FLATBUSH-EAST,01-ONE FAMILY DWELLINGS,195,"250,000","682,896","678,400","1,300,000"
BROOKLYN,FLATBUSH-EAST,02-TWO FAMILY DWELLINGS,137,"200,000","755,313","720,000","1,795,000"
BROOKLYN,FLATBUSH-EAST,03-THREE FAMILY DWELLINGS,16,"550,000","869,238","874,000","1,340,000"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,01-ONE FAMILY DWELLINGS,37,"700,000","1,901,512","1,950,000","2,822,000"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,02-TWO FAMILY DWELLINGS,21,"875,000","1,462,375","1,450,000","2,400,000"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,03-THREE FAMILY DWELLINGS,13,"995,000","1,371,538","1,450,000","1,805,000"
