BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,
MANHATTAN,UPPER WEST SIDE (59-79),02-TWO FAMILY DWELLINGS,3,"5,800,000","7,383,333","5,850,000","10,500,000",
MANHATTAN,UPPER WEST SIDE (59-79),03-THREE FAMILY DWELLINGS,1,"3,820,000","3,820,000","3,820,000","3,820,000",
MANHATTAN,UPPER WEST SIDE (79-96),01-ONE FAMILY DWELLINGS,8,"2,775,000","6,200,625","6,040,000","10,250,000",
MANHATTAN,UPPER WEST SIDE (79-96),02-TWO FAMILY DWELLINGS,6,"4,350,000","6,934,167","6,650,000","11,000,000",
MANHATTAN,UPPER WEST SIDE (79-96),03-THREE FAMILY DWELLINGS,2,"5,975,000","6,412,500","6,412,500","6,850,000",
MANHATTAN,UPPER WEST SIDE (96-116),01-ONE FAMILY DWELLINGS,1,"15,250,000","15,250,000","15,250,000","15,250,000",
MANHATTAN,WASHINGTON HEIGHTS LOWER,01-ONE FAMILY DWELLINGS,4,"2,300,000","2,456,250","2,450,000","2,625,000",
MANHATTAN,WASHINGTON HEIGHTS LOWER,02-TWO FAMILY DWELLINGS,5,"450,000","1,577,900","1,600,000","2,500,000",
MANHATTAN,WASHINGTON HEIGHTS LOWER,03-THREE FAMILY DWELLINGS,1,"5,200,000","5,200,000","5,200,000","5,200,000",
MANHATTAN,WASHINGTON HEIGHTS UPPER,02-TWO FAMILY DWELLINGS,3,"850,000","1,416,667","1,400,000","2,000,000",
MANHATTAN,WASHINGTON HEIGHTS UPPER,03-THREE FAMILY DWELLINGS,2,"860,000","955,000","955,000","1,050,000",
,,,,,,,,
